Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,49.040000915527344,49.369998931884766,48.54999923706055,49.220001220703125,47.75152587890625,1965500
2017-01-04,49.650001525878906,50.06999969482422,49.29999923706055,49.810001373291016,48.32392120361328,2478500
2017-01-05,49.56999969482422,49.75,48.65999984741211,49.18000030517578,47.71271514892578,1433100
2017-01-06,49.40999984741211,50.189998626708984,49.18000030517578,50.06999969482422,48.576171875,1534100
2017-01-09,49.88999938964844,50.119998931884766,49.290000915527344,49.630001068115234,48.1492919921875,1499700
2017-01-10,49.7400016784668,50.06999969482422,49.349998474121094,49.869998931884766,48.38212966918945,1411200
2017-01-11,49.779998779296875,50.08000183105469,49.619998931884766,49.97999954223633,48.48884963989258,1121100
2017-01-12,49.88999938964844,50.5099983215332,49.540000915527344,50.439998626708984,48.935123443603516,1410300
2017-01-13,50.54999923706055,51.0,50.54999923706055,50.65999984741211,49.148563385009766,1471600
2017-01-17,50.540000915527344,50.65999984741211,49.93000030517578,50.279998779296875,48.77989959716797,1356600
2017-01-18,50.38999938964844,50.77000045776367,50.189998626708984,50.709999084472656,49.19706726074219,2030400
2017-01-19,50.90999984741211,51.18000030517578,50.439998626708984,50.68000030517578,49.16796112060547,1685800
2017-01-20,50.95000076293945,51.18000030517578,50.630001068115234,50.810001373291016,49.29408264160156,1224300
2017-01-23,50.630001068115234,50.97999954223633,50.060001373291016,50.459999084472656,48.954532623291016,1332900
2017-01-24,50.7400016784668,51.349998474121094,50.4900016784668,51.18000030517578,49.653053283691406,1026000
2017-01-25,51.619998931884766,52.43000030517578,51.5099983215332,52.400001525878906,50.83665084838867,2017500
2017-01-26,52.380001068115234,52.83000183105469,51.9900016784668,52.18000030517578,50.62321090698242,1880000
2017-01-27,52.18000030517578,52.43000030517578,51.630001068115234,51.810001373291016,50.26425552368164,1343100
2017-01-30,51.810001373291016,52.040000915527344,50.900001525878906,51.38999938964844,49.85678482055664,1470900
2017-01-31,51.380001068115234,51.459999084472656,50.849998474121094,51.099998474121094,49.575435638427734,1688200
2017-02-01,51.349998474121094,51.560001373291016,50.65999984741211,51.09000015258789,49.565731048583984,1706100
2017-02-02,50.779998779296875,51.08000183105469,50.439998626708984,51.040000915527344,49.5172233581543,1025100
2017-02-03,51.41999816894531,51.70000076293945,51.08000183105469,51.5099983215332,49.97320556640625,2067200
